index,dimension_id,group,key,name,evaluation_question,measurement_posture,anti_gaming_rule
0,PCE013-DIM-001,COMPREHENSION,LOCAL_MEANING,Local meaning uptake,Is the unit-level proposition/event likely understood as intended?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
1,PCE013-DIM-002,COMPREHENSION,CAUSAL_INTEGRATION,Causal integration,"Can the reader connect cause, consequence, enabling conditions and explanation?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
2,PCE013-DIM-003,COMPREHENSION,TEMPORAL_ORIENTATION,Temporal orientation,Does the reader know when events/claims occur and how time shifts relate?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
3,PCE013-DIM-004,COMPREHENSION,SPATIAL_ORIENTATION,Spatial orientation,Can the reader maintain relevant location/scene relations where they matter?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
4,PCE013-DIM-005,COMPREHENSION,ENTITY_TRACKING,Entity/character tracking,"Can the reader track who/what is active, referred to, changed or newly introduced?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
5,PCE013-DIM-006,COMPREHENSION,GOAL_INTENTION,Goal/intention tracking,"Can the reader infer active goals, plans, motives or argumentative purposes at the intended certainty?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
6,PCE013-DIM-007,COMPREHENSION,INFERENCE_BURDEN,Inference burden,Are required inferences proportionate to intent/profile rather than accidental gaps?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
7,PCE013-DIM-008,COMPREHENSION,AMBIGUITY_BOUNDARY,Ambiguity boundary,Is uncertainty intentional/productive or likely to become unintended misunderstanding?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
8,PCE013-DIM-009,ATTENTION_ENGAGEMENT,FOCUS,Attentional focus,Is attention likely to remain on the relevant narrative/argumental material?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
9,PCE013-DIM-010,ATTENTION_ENGAGEMENT,ENGAGEMENT_CONTINUITY,Engagement continuity,Does engagement sustain or intentionally ebb/return across units?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
10,PCE013-DIM-011,ATTENTION_ENGAGEMENT,DISTRACTION_RISK,Distraction risk,Where is attentional disengagement plausible and why?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
11,PCE013-DIM-012,ATTENTION_ENGAGEMENT,REENGAGEMENT,Re-engagement,"After a lull/transition, does the work supply a plausible re-entry hook or orientation point?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
12,PCE013-DIM-013,ATTENTION_ENGAGEMENT,INVOLVEMENT,Narrative/idea involvement,"Does the reader form meaningful involvement with events, ideas or characters as intended?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
13,PCE013-DIM-014,ATTENTION_ENGAGEMENT,DROPOUT_RISK,Continuation/dropout risk,"Is there a localized risk of abandoning the reading task, distinct from deliberate pause?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
14,PCE013-DIM-015,AFFECT,VALENCE,Affective valence,"What positive/negative/mixed affect is plausibly activated, with uncertainty?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
15,PCE013-DIM-016,AFFECT,AROUSAL,Affective arousal,How activated/calm is the predicted emotional state relative to intent?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
16,PCE013-DIM-017,AFFECT,EMOTION_SPECIFICITY,Emotion specificity,Which emotions are plausible rather than collapsing to sentiment?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
17,PCE013-DIM-018,AFFECT,EMPATHIC_CONNECTION,Empathic/character connection,Is perspective-taking/sympathy/identification plausible where intended?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
18,PCE013-DIM-019,AFFECT,AFFECT_INTENT_FIT,Affect-intent fit,Does the predicted affect match the intended emotional function or deliberately diverge?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
19,PCE013-DIM-020,AFFECT,AFFECT_TRANSITION,Affective transition,Do emotional changes have legible triggers and appropriate contour?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
20,PCE013-DIM-021,AFFECT,INTENSITY_CALIBRATION,Intensity calibration,"Is emotional intensity proportionate to stakes, tone, genre and author intent?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
21,PCE013-DIM-022,AFFECT,EMOTIONAL_RESIDUE,Emotional residue,What affect is likely to persist across the next boundary or after closure?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
22,PCE013-DIM-023,CURIOSITY_TENSION,OPEN_QUESTIONS,Open-question load,"What questions are active, and is their number/importance manageable?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
23,PCE013-DIM-024,CURIOSITY_TENSION,INFORMATION_GAP,Information-gap curiosity,Does withheld/partial information create useful desire-to-know?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
24,PCE013-DIM-025,CURIOSITY_TENSION,EXPECTATION_GENERATION,Expectation generation,What outcomes/explanations does the reader predict from available evidence?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
25,PCE013-DIM-026,CURIOSITY_TENSION,EXPECTATION_CALIBRATION,Expectation calibration,Are expectations appropriately strong/weak or misleading relative to intended payoff?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
26,PCE013-DIM-027,CURIOSITY_TENSION,SUSPENSE_TENSION,Suspense/tension,"How do uncertainty, stakes, delay and anticipation combine relative to intent?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
27,PCE013-DIM-028,CURIOSITY_TENSION,STAKES_LEGIBILITY,Stakes legibility,Does the reader understand what can be gained/lost and for whom/what?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
28,PCE013-DIM-029,CURIOSITY_TENSION,SURPRISE_PREPARATION,Surprise preparation,Can a surprise feel surprising without feeling ungrounded when its function requires fairness?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
29,PCE013-DIM-030,CURIOSITY_TENSION,PAYOFF_ANTICIPATION,Payoff anticipation,Do setups create appropriately timed expectation for later resolution?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
30,PCE013-DIM-031,IMAGERY_ABSORPTION,MENTAL_IMAGERY,Mental imagery,Can the reader construct relevant people/places/actions/concepts vividly enough for the intended effect?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
31,PCE013-DIM-032,IMAGERY_ABSORPTION,SCENE_MODEL_COHERENCE,Scene/storyworld coherence,Does the imagined world remain coherent across updates?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
32,PCE013-DIM-033,IMAGERY_ABSORPTION,TRANSPORTATION,Transportation,Is immersion into the narrative/idea world plausible without treating transportation as mandatory quality?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
33,PCE013-DIM-034,IMAGERY_ABSORPTION,EMOTIONAL_ENGAGEMENT,Emotional engagement,Does the reader feel for/with characters or ideas where intended?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
34,PCE013-DIM-035,IMAGERY_ABSORPTION,VIEWPOINT_PRESENCE,Viewpoint presence,Does perspective/narrative distance support the intended sense of presence?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
35,PCE013-DIM-036,IMAGERY_ABSORPTION,IMAGERY_CONTINUITY,Imagery continuity,Do images and scene models update without accidental disorientation?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
