system_id,system_name,system_class,canonical_owner,current_architecture_standing,current_implementation_standing,current_portable_evidence,current_target_native_evidence,production_standing,primary_source_location,primary_evidence_location,hard_dependencies,supersession_or_boundary,unresolved_gap,recon_status
ASSURANCE-001,Unified Build & Release Assurance Control Plane,CONTROL,ASSURANCE-001,ACTIVE_CURRENT,PARTIAL_STRONG,STRONG_PORTABLE,HISTORICAL_A01_AND_EXTERNAL_GATES_PARTIAL,NOT_PRODUCTION_READY,src/main/java/org/systemmaster/assurance + 01_ASSURANCE + 09_QUALIFICATION,CQ-001/CQ-002/CQ-003 closures + qualification DAG,NONE,No other authority may grant qualification/promotion truth,Current-subject whole-authority capability challenge and target/live evidence normalization,CHALLENGE_REQUIRED
SYSTEM-MODEL-001,System Model / Canonical Authority & Dependency Graph,CONTROL,SYSTEM-MODEL-001,ARCHITECTURE_STRONG,PORTABLE_IMPLEMENTED,PORTABLE_PROVEN,NOT_APPLICABLE_EXCEPT_INTEGRATION,NOT_PRODUCTION_READY,00_PROGRAM_CONTROL + architecture registries,GLOBAL_COVERAGE + architecture graph receipts,ASSURANCE-001,Owns registry/DAG not domain truth,Current graph/registry stale across generations and must be regenerated,RECONCILIATION_REQUIRED
SYSTEM-MASTER-BUILD-GOVERNANCE,System Master Build Governance,CONTROL,SYSTEM-MASTER-BUILD-GOVERNANCE,ACTIVE_CURRENT,PARTIAL_IMPLEMENTED,HISTORICAL_PORTABLE,NOT_NORMALIZED,NOT_PRODUCTION_READY,00_PROGRAM_CONTROL,global coverage/build-order/freeze artifacts,ASSURANCE-001;SYSTEM-MODEL-001,Constitution/build authority not runtime domain owner,Current evidence and promotion authority split across generations,RECONCILIATION_REQUIRED
FOUNDATION-001,Identity Principal Time Correlation Causation,FOUNDATION,FOUNDATION-001,CURRENT,IMPLEMENTED,PORTABLE_PROVEN,TARGET_RESIDUAL,NOT_PRODUCTION_READY,Foundation source/control paths,UAF/Foundation qualification evidence,NONE,Canonical substrate identity/time authority,Fresh exact-current target parity not fully normalized,CHALLENGE_REQUIRED
FOUNDATION-002,Data Governance Privacy Purpose Retention Policy,FOUNDATION,FOUNDATION-002,CURRENT,IMPLEMENTED_BASE,PORTABLE_PROVEN,PARTIAL_TARGET_RESIDUAL,NOT_PRODUCTION_READY,Foundation source/control paths,UAF/Foundation qualification evidence,FOUNDATION-001;FOUNDATION-005,Later 021M/021N specialists narrow runtime ownership,Boundary reconciliation and current implementation coverage required,CHALLENGE_REQUIRED
FOUNDATION-003,Durable Jobs Events Idempotency Replay Recovery Semantics,FOUNDATION,FOUNDATION-003,CURRENT,STRONG_IMPLEMENTED,STRONG_PORTABLE,WINDOWS_AND_RECOVERY_EVIDENCE_PARTIAL,NOT_PRODUCTION_READY,src/main/java durable runtime/job paths + Foundation controls,Orchestrator/Continuity/vertical-slice qualification,FOUNDATION-001;FOUNDATION-004;FOUNDATION-005,Durable execution truth not Project/Orchestrator semantic owner,Live dependency and successor-boundary challenge required,CHALLENGE_REQUIRED
FOUNDATION-004,Security Delegation Policy Decision Approval,FOUNDATION,FOUNDATION-004,CURRENT,IMPLEMENTED_BASE,PORTABLE_PROVEN,TARGET_RESIDUAL,NOT_PRODUCTION_READY,Foundation source/control paths,UAF/Foundation qualification evidence,FOUNDATION-001;FOUNDATION-002;FOUNDATION-005,021O specializes identity/auth; PLATFORM-010 owns effects,Current authorization bypass/adversarial coverage needs normalization,CHALLENGE_REQUIRED
FOUNDATION-005,Contract Schema Version Compatibility,FOUNDATION,FOUNDATION-005,CURRENT,IMPLEMENTED,PORTABLE_PROVEN,TARGET_RESIDUAL,NOT_PRODUCTION_READY,Foundation source/control paths,UAF/Foundation qualification evidence,FOUNDATION-001,Canonical contract/version authority,Fresh cross-system route/schema closure must be regenerated,CHALLENGE_REQUIRED
FOUNDATION-006,Evidence Observation Decision Evaluation Audit,FOUNDATION,FOUNDATION-006,CURRENT,STRONG_ACTIVE_IMPLEMENTATION,STRONG_PORTABLE,TARGET_EXTERNAL_TRUST_RESIDUAL,NOT_PRODUCTION_READY,src/main/java Foundation006 + assurance integration,UAF FOUNDATION-006 G lineage + verified-output + CQ regressions,FOUNDATION-001;FOUNDATION-005,Supports Assurance but does not itself grant production standing,External witness/trusted-head/live DB evidence incomplete,CHALLENGE_REQUIRED
FOUNDATION-007,Supply Chain SBOM Provenance Attestation Artifact Lineage,FOUNDATION,FOUNDATION-007,CURRENT,IMPLEMENTED_BASE,PORTABLE_PROVEN,TARGET_RESIDUAL,NOT_PRODUCTION_READY,Foundation provenance/source paths,UAF/Foundation qualification evidence,FOUNDATION-001;FOUNDATION-005;FOUNDATION-006,021R later specializes software/release integrity,Current-source requalification and target provenance evidence,CHALLENGE_REQUIRED
