# path	newest_branch	holder_count
governance/ADR-0006-PROGRAMMING-PEER-ADMISSION-WEBSITE-BUILDING.md	apply-updates-008	1
governance/CAPABILITY-CROSSWALK-PROPOSAL-001.md	apply-updates-008	1
governance/CHAT-LANE-OPERATING-PROMPT-002.md	documents/spine-effect-runtime-001-20260912	45
governance/CHATGPT-OPERATING-CONTRACT-001.md	apply-updates-008	1
governance/CHATGPT-OPERATING-CONTRACT-002.md	apply-updates-008	1
governance/COMPLETION-LEDGER-001.json	core/a01-closed-loop-repair-001-integration-a01	6
governance/COMPLETION-LEDGER-003.json	apply-updates-008	1
governance/CURRENT-AUTHORITY.json	recovery/core-consolidation-001	148
governance/DECISION-RIGHTS-001.md	apply-updates-008	1
governance/EXPECTATION-REGISTRY-004.json	qualification/knowledge-recovery-programming-001-run-008	7
governance/EXPECTATION-REGISTRY-006.json	apply-updates-008	1
governance/EXPECTATION-REGISTRY-007.json	apply-updates-008	1
governance/FAST-LANE-001.md	apply-updates-008	1
governance/FOUNDATION-CLOSURE-OWNER-DECISION-PACK-001.md	apply-updates-008	1
governance/FOUNDATION-CONTRACT-TEMPLATE-001.md	apply-updates-008	1
governance/PLATFORM-DISPOSITION-DECISIONS-001.md	apply-updates-008	1
governance/REALLOCATION-LEDGER-004.json	apply-updates-008	1
governance/REALLOCATION-LEDGER-005.json	apply-updates-008	1
governance/ROLLBACK-PROCEDURE-001.md	apply-updates-008	1
governance/SYSTEM-COMPLETION-STATUS-001.json	qualification/knowledge-recovery-programming-001-run-008	7
governance/SYSTEM-COMPLETION-STATUS-002.json	apply-updates-008	1
governance/SYSTEM-PROGRAM-JOB-LOCK-001.json	apply-updates-008	8
governance/SYSTEM-STATE-BASELINE-007.json	apply-updates-008	1
governance/SYSTEM-TOPOLOGY-006.json	apply-updates-008	1
governance/SYSTEM-TOPOLOGY-007.json	apply-updates-008	1
governance/WORK-OBLIGATION-REGISTRY-001.json	second-shift/value-scorecard-hardening-20260910-final6	19
governance/WORK-OBLIGATION-REGISTRY-013.json	apply-updates-008	1
governance/architecture/SYSTEM-MASTER-DOCUMENT-SOURCE-CUSTODY-AND-REUSABLE-ASSET-MANIFEST-002.json	documents/r4-current-capability-ledger-admission-007	3
governance/architecture/SYSTEM-MASTER-GITHUB-RELIABILITY-CONTROL-PLANE-001.md	infrastructure/github-reliability-control-plane-001-rebase-20260910	4
governance/architecture/SYSTEM-MASTER-TOOL-OWNER-ALLOCATION-005.json	recovery/core-consolidation-001	2
