case_id,group,requirement
C01,C,exact B02 source acceptance identity and digest bind diagnostic context
C02,C,source acceptance currentness is required for current diagnostic context
C03,C,source acceptance digest mismatch fails closed
C04,C,normalized source projection identity and digest bind exactly when consumed
C05,C,diagnostic scope kind is restricted to PASSAGE SCENE SECTION or CHAPTER
C06,C,diagnostic scope reference and digest bind exactly
C07,C,source anchor references are nonempty valid and bounded to the diagnostic scope when required
C08,C,source anchor digest mismatch fails closed
C09,C,B03 Story Bible and knowledge identity bind exactly when consumed
C10,C,stale B03 Story Bible or knowledge blocks dependent diagnostic context
C11,C,exact B03 semantic dependency references used by diagnosis are preserved
C12,C,B04 exposure or understanding binding is exact when reader evidence is consumed
C13,C,stale B04 evidence blocks only contexts or lenses that consume that evidence
C14,C,B04 dimension or lens evidence references must belong to the exact bound B04 projection
C15,C,B08 voice or preference binding is exact when governing voice evidence is consumed
C16,C,missing B08 evidence never permits B05 to synthesize governing voice standing
C17,C,B10 or Book author constraint references bind exactly when consumed
C18,C,B05 literary purpose hypothesis remains structurally distinct from explicit author intent
C19,C,requested diagnostic lenses must be an exact subset of the frozen B05 lens registry
C20,C,unknown or unsupported diagnostic lens fails closed
C21,C,craft intelligence retrieval policy reference and digest bind exactly
C22,C,durable diagnostic context forbids raw manuscript or full source text payloads
C23,C,diagnostic context construction is deterministic and content addressed
C24,C,diagnostic context preserves canonical_effect false
S01,S,B05-LENS-001 sentence rhythm and syntax emits bounded craft evidence on valid context
S02,S,B05-LENS-001 cannot emit replacement prose or revision candidate text
S03,S,B05-LENS-002 paragraph movement emits bounded craft evidence on valid context
S04,S,B05-LENS-002 preserves scope and may not mutate source structure
S05,S,B05-LENS-003 diction register emits local craft evidence
S06,S,B05-LENS-003 cannot promote local diction evidence to B08 governing voice standing
S07,S,B05-LENS-004 POV focalization distance emits craft effect evidence against exact B03 or B04 bindings
S08,S,B05-LENS-004 cannot redefine POV focalization or narrative-distance truth
S09,S,B05-LENS-005 character agency continuity realization consumes exact B03 character or event truth
S10,S,B05-LENS-005 cannot synthesize character goals knowledge relationships or continuity state
S11,S,B05-LENS-006 dialogue subtext distinctiveness emits local craft evidence
S12,S,B05-LENS-006 cannot promote dialogue distinctiveness to governing voice standing
S13,S,B05-LENS-007 scene tension causality emits craft effect evidence against exact upstream truth
S14,S,B05-LENS-007 cannot mutate causal event truth or B04 reader tension standing
S15,S,B05-LENS-008 pacing compression expansion emits local craft effect evidence
S16,S,B05-LENS-008 cannot create B04 reader pacing or momentum standing
S17,S,B05-LENS-009 information release orientation consumes exact B04 exposure or understanding evidence
S18,S,B05-LENS-009 cannot create a second reveal frontier or reader-access truth
S19,S,B05-LENS-010 description imagery metaphor motif emits local craft evidence
S20,S,B05-LENS-010 cannot synthesize B03 canonical motif or theme truth
S21,S,B05-LENS-011 emotional progression emits craft effect evidence with exact dependencies
S22,S,B05-LENS-011 cannot synthesize character emotion truth or B04 reader affect standing
S23,S,B05-LENS-012 exposition argument emits bounded rhetorical and craft evidence
S24,S,B05-LENS-012 cannot certify factual truth from literary presentation quality
S25,S,B05-LENS-013 theological philosophical presentation emits craft and reasoning-presentation evidence
S26,S,B05-LENS-013 cannot certify theological philosophical or factual truth
S27,S,B05-LENS-014 historical register emits craft and register evidence
S28,S,B05-LENS-014 cannot certify historical fact or source authority
S29,S,B05-LENS-015 opening ending turns emits bounded entry exit and movement evidence
S30,S,B05-LENS-015 cannot synthesize author intent from literary inference
S31,S,B05-LENS-016 canon protected-language constraint check consumes exact upstream constraint truth
S32,S,B05-LENS-016 can report conflict or risk but cannot create canon protected language or author decisions
S33,S,voice preservation evolution remains an external B08 governing seam while B05 may emit local voice-relevant signals
S34,S,B05 local voice-relevant signals cannot serialize B08 degradation evolution or trait disposition standing
S35,S,homogenization overoptimization remains an external B08 governing seam while B05 may emit potential-risk signals
S36,S,B05 potential homogenization signal cannot satisfy B08 governing homogenization assessment standing
K01,K,craft intelligence record requires exact B02-admitted source or normalized projection provenance
K02,K,unresolved or blocked source rights custody standing prevents B05 craft-source admission
K03,K,literary task fit is represented separately from source rights and custody standing
K04,K,task-mismatched craft record is not returned as applicable intelligence
K05,K,craft record requires a mechanism description rather than a prestige label
K06,K,craft record preserves applicability conditions and counterconditions
K07,K,craft record preserves failure modes
K08,K,craft record preserves interactions with other techniques where known
K09,K,craft record preserves diagnostic signals
K10,K,abstract revision-transform knowledge cannot contain applied manuscript replacement text
